淘宝,,,,,,,,,
序号,品牌,咖啡豆,处理法,烘焙度,克价（元）,喜好星值,视频期数,备注,购买渠道
1,如光咖啡,金标瑰夏村,日晒,浅度,1.4,4.5,1,细糠，会有明显的，桃子，精致水果的风味,淘宝
2,CP,花魁 8.0,日晒,浅度,0.28,3,2,市面上比较有性价比的花魁 8.0,淘宝
3,BOB,耶加雪菲 G2,水洗,浅度,0.23,3,3,入门款手冲豆,淘宝
4,辛鹿,云南铁比卡,水洗,浅度,0.26,3,4,较为愉悦的风味感受，一只不错的云南,淘宝
5,启程,埃塞纯享版,意式豆,中度,0.39,4,5,其实是一款意式豆，还是推荐用意式的做法,淘宝
6,BOB,埃塞花魁,日晒,浅度,0.3,3,6,低温酵感明显，入门基础款,淘宝
7,辛鹿,糖心车厘子2.0,日晒,浅度,0.34,3.5,7,酸甜度在线，挺好喝,淘宝
8,良致,软桃咕咚,日晒,中浅,0.4,3.5,8,风味干净，有不错的甜度,淘宝
9,白鲸咖啡,D72elto74158,日晒,浅度,0.78,4.5,9,触感非常顺滑，风味愉悦，甜度高，细糠,淘宝
10,CP,萨尔瓦多彩虹波旁,厌氧日晒,浅度,0.41,3,10,厌氧味儿比较明显，冲煮需要拉开水粉比,淘宝
11,辛鹿,糖心菠萝,厌氧日晒,浅度,0.23,3.5,11,低温段好喝，冰的好喝，适合冷萃冰手冲,淘宝
12,驭豆师,火锅底料,/,/,/,/,12,/,小程序
13,叶磊,绿顶瑰夏,/,/,/,/,/,/,快团团
14,辛鹿,柯岚瑰夏,水洗,中度,0.53,3,13,香气有玉米味儿，风味还算是感觉，浅烘比较好喝,淘宝
15,Batahewan,雪莉莎,日晒,浅度,0.3,3.5,14,奶枣味不错，但中途会有些麻涩感,快团团
16,辛鹿,翡翠绿标,水洗,浅度,1.18,3.5,15,性价比高，但大厂烘焙,淘宝
17,白鲸,红豆沙糖水 ,水洗,浅度,0.62,4,16,干净，甜度高，喜欢纯甜的话那他很强,淘宝
18,菠萝咖啡橙子,东非霓虹,水洗,中度,0.54,3,17,番茄和甜度不错，但是有白瓤的苦涩余韵,淘宝
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
